,geo_h3_10,avg,population,lat_x,lon_x,city,Автозапчасти для иномарок,Авторемонт и техобслуживание (СТО),Алкогольные напитки,Аптеки,Банки,Быстрое питание,Доставка готовых блюд,Женская одежда,Кафе,Косметика / Парфюмерия,Ногтевые студии,Овощи / Фрукты,Парикмахерские,Платёжные терминалы,Постаматы,Продуктовые магазины,Пункты выдачи интернет-заказов,Рестораны,Страхование,Супермаркеты,Цветы,Шиномонтаж,lat_y,lon_y
129,8a1106060457fff,2955.5,367,59.92945725739735,30.35589356657185,Санкт-Петербург,,,,,,,,3.0,,2.0,1.0,,,,,,,,2.0,,,,59.92945725739735,30.35589356657185
130,8a110606046ffff,6271.666666666666,51,59.93169386593014,30.355169681661003,Санкт-Петербург,,,,2.0,,2.0,,,2.0,,1.0,,,,1.0,,1.0,10.0,,6.0,2.0,,59.93169386593014,30.355169681661
131,8a110606048ffff,8254.166666666668,237,59.9261022758897,30.356979230764782,Санкт-Петербург,,,,,,,,2.0,3.0,,2.0,,,1.0,,,,,1.0,3.0,,,59.9261022758897,30.35697923076479
132,8a110606052ffff,17181.166666666668,136,59.92890723995228,30.346996985477315,Санкт-Петербург,,,,4.0,1.0,3.0,,26.0,4.0,3.0,6.0,,3.0,1.0,2.0,,,,1.0,3.0,,,59.92890723995228,30.346996985477315
133,8a110606052ffff,88.66666666666667,136,59.92890723995228,30.346996985477315,Санкт-Петербург,,,,4.0,1.0,3.0,,26.0,4.0,3.0,6.0,,3.0,1.0,2.0,,,,1.0,3.0,,,59.92890723995228,30.346996985477315
134,8a1106060637fff,76.5,12,59.93258092396817,30.362143348367542,Санкт-Петербург,,,,2.0,3.0,1.0,,3.0,,,,,2.0,1.0,1.0,,,1.0,1.0,,,,59.93258092396814,30.36214334836756
135,8a110606068ffff,1260.3333333333333,118,59.93156842841782,30.36791654206202,Санкт-Петербург,,,2.0,2.0,1.0,1.0,3.0,5.0,4.0,2.0,,,1.0,,,1.0,,,,,,,59.93156842841782,30.36791654206202
136,8a1106060717fff,17026.0,101,59.93213743432501,30.358656416277213,Санкт-Петербург,,,1.0,2.0,2.0,4.0,1.0,20.0,1.0,3.0,,,,1.0,1.0,,1.0,,,,1.0,,59.93213743432501,30.358656416277213
137,8a11060609b7fff,92.0,51,59.9346214238844,30.332440492520583,Санкт-Петербург,,,,,,,3.0,3.0,,1.0,,,,,,,,,,,,,59.9346214238844,30.332440492520583
138,8a1106061947fff,10815.388888888889,78,59.95941854835687,30.353454477703607,Санкт-Петербург,,,,,1.0,2.0,,,,,,,,,,,,,,,,,59.95941854835687,30.35345447770362
139,8a1106061cb7fff,14971.27777777778,112,59.94566313528694,30.35972558033096,Санкт-Петербург,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,59.94566313528693,30.359725580330952
140,8a11060622effff,10330.0,84,59.924392736603394,30.38475594344837,Санкт-Петербург,,,,2.0,1.0,2.0,,,3.0,,,,,1.0,,,,,,,,,59.924392736603394,30.384755943448376
141,8a110606306ffff,2417.833333333333,287,59.94026228654667,30.3905267127519,Санкт-Петербург,,,,2.0,,,,,,,,2.0,,,,,,,,,,,59.94026228654667,30.390526712751896
142,8a110606438ffff,6175.6111111111095,88,59.93854175573496,30.322093137006554,Санкт-Петербург,,,,,2.0,,,5.0,1.0,,,,,,,,1.0,4.0,,,1.0,,59.93854175573496,30.322093137006554
143,8a110606441ffff,92.16666666666669,138,59.92680941958948,30.316828636757155,Санкт-Петербург,,,,4.0,,2.0,,,,,1.0,,,1.0,,,,3.0,,,,,59.92680941958946,30.316828636757155
144,8a1106064457fff,1099.0,708,59.92870869032944,30.318026434001528,Санкт-Петербург,,,2.0,,,,,3.0,,,1.0,,3.0,1.0,1.0,1.0,2.0,,,,,,59.92870869032944,30.31802643400152
145,8a1106064487fff,655.1666666666666,349,59.92457335351849,30.317554600101428,Санкт-Петербург,,,1.0,2.0,5.0,2.0,,,3.0,1.0,,,2.0,1.0,1.0,1.0,,,1.0,,1.0,,59.92457335351849,30.317554600101428
146,8a11060644e7fff,579.3333333333334,186,59.927590663287695,30.31838941209533,Санкт-Петербург,,,,4.0,3.0,,,,,,,,,5.0,1.0,,1.0,3.0,1.0,,2.0,,59.927590663287695,30.31838941209535
147,8a110606464ffff,1257.6666666666663,147,59.93607643565225,30.33015349979977,Санкт-Петербург,,,,,,,,,1.0,,2.0,,3.0,,,,1.0,1.0,,,,,59.93607643565225,30.33015349979977
148,8a1106064757fff,559.0,58,59.93406968859815,30.32354486101979,Санкт-Петербург,,,1.0,,2.0,,4.0,,1.0,,,,2.0,,,,,4.0,,,,,59.93406968859815,30.32354486101979
149,8a1106065877fff,92.83333333333334,406,59.95799129401021,30.31940697374321,Санкт-Петербург,,,,4.0,,,,3.0,1.0,,,,,1.0,,,,1.0,,2.0,,,59.95799129401021,30.31940697374321
150,8a110606592ffff,0.0,292,59.95710143354973,30.312432051335687,Санкт-Петербург,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,59.95710143354973,30.312432051335687
151,8a1106066307fff,9489.833333333332,201,59.92232175440671,30.33642821707507,Санкт-Петербург,,,,2.0,4.0,1.0,,,3.0,,2.0,,2.0,1.0,,,,,1.0,,,,59.922321754406696,30.33642821707507
152,8a110606680ffff,3315.333333333334,187,59.92010111143296,30.31900626508912,Санкт-Петербург,,,,2.0,,,,,,2.0,1.0,,4.0,,,,,,2.0,,,,59.92010111143296,30.31900626508912
153,8a1106066d6ffff,98.0,108,59.915184457079576,30.316974160735747,Санкт-Петербург,,,,2.0,1.0,,,,,4.0,,,,1.0,1.0,,,,1.0,2.0,,,59.915184457079576,30.316974160735747
154,8a1106068937fff,8294.133333333333,108,59.97546096923325,30.40642168472668,Санкт-Петербург,,,,2.0,,2.0,,,1.0,,,,,2.0,1.0,,,,1.0,2.0,,,59.97546096923323,30.4064216847267
155,8a110606c32ffff,7915.5,450,59.97972342586956,30.39413642988077,Санкт-Петербург,,,1.0,4.0,,,,,,,,,2.0,1.0,1.0,1.0,,3.0,,2.0,1.0,,59.97972342586956,30.394136429880785
156,8a110606cc97fff,44706.0,29,59.9640866750432,30.38101367378733,Санкт-Петербург,,,,,,,,,,,,,,1.0,,,,,,,,,59.964086675043184,30.381013673787344
157,8a110606ea37fff,560.6666666666666,283,59.9622719532014,30.40340690281435,Санкт-Петербург,,,,,,,,,1.0,,,,,,,,,,,,,,59.9622719532014,30.40340690281435
158,8a1106072087fff,3.333333333333333,223,59.8603110315271,30.38909385803853,Санкт-Петербург,,,,2.0,1.0,,,,,,,1.0,2.0,4.0,4.0,1.0,,,1.0,4.0,1.0,,59.8603110315271,30.389093858038528
159,8a1106072a27fff,5669.849999999999,554,59.87105814785572,30.382008132059774,Санкт-Петербург,,,,4.0,2.0,3.0,,2.0,1.0,8.0,,1.0,1.0,3.0,2.0,2.0,3.0,,1.0,5.0,1.0,,59.871058147855706,30.382008132059784
160,8a1106072db7fff,89.83333333333333,881,59.8539641551472,30.37121346895388,Санкт-Петербург,,,,4.0,,2.0,,,,,,,,,,,,,,3.0,,,59.8539641551472,30.371213468953883
161,8a1106076437fff,10916.333333333332,1117,59.853547448427925,30.34961633475809,Санкт-Петербург,,,,,,,,11.0,,1.0,1.0,,,,1.0,,1.0,,,,1.0,1.0,59.853547448427925,30.34961633475808
162,8a11060e132ffff,3554.833333333333,1922,59.83467432556857,30.504191896094227,Санкт-Петербург,,,,,1.0,,,,,,,,,1.0,,,,,,,,,59.83467432556856,30.504191896094227
163,8a110610d2a7fff,97.83333333333331,1152,59.84203490748172,30.11456878475994,Санкт-Петербург,,,,2.0,,2.0,,,,,,,,,,,,,,,,,59.84203490748172,30.11456878475994
164,8a110614a78ffff,1947.5,63,59.92995791404228,30.286776313099715,Санкт-Петербург,,,,,,,,,2.0,1.0,,,,,,,,,,,,,59.92995791404229,30.286776313099715
165,8a110614aac7fff,93.33333333333334,294,59.94214329017044,30.277363562111724,Санкт-Петербург,,,,4.0,,2.0,2.0,,,,,1.0,,2.0,,,,1.0,,,,,59.94214329017044,30.27736356211172
166,8a110614aae7fff,6366.0,190,59.94247926178255,30.275439301263468,Санкт-Петербург,,,2.0,2.0,4.0,8.0,,7.0,1.0,2.0,,,,6.0,,,2.0,,,4.0,,,59.94247926178255,30.275439301263468
167,8a110614aaeffff,11296.366666666667,393,59.943260914457525,30.276999268663115,Санкт-Петербург,,,,2.0,5.0,,,,,2.0,,,,1.0,1.0,,,,1.0,,,,59.943260914457525,30.276999268663115
168,8a110614ac4ffff,1802.5,44,59.932201203064665,30.267903927112496,Санкт-Петербург,,,,,,,,,1.0,,,,,,,,,,,,,,59.932201203064665,30.267903927112496
169,8a110614b35ffff,3274.883333333333,329,59.96068225835865,30.30400322777665,Санкт-Петербург,,,2.0,2.0,1.0,,,12.0,3.0,4.0,,,,1.0,1.0,,,6.0,1.0,4.0,1.0,,59.96068225835865,30.30400322777666
170,8a110614bb8ffff,16228.166666666664,92,59.9589005693945,30.29005582998712,Санкт-Петербург,,,,,,1.0,,1.0,,2.0,1.0,,,,,,1.0,2.0,,2.0,1.0,,59.9589005693945,30.29005582998712
171,8a110614bb9ffff,7999.666666666666,21,59.957782931897256,30.2904199140645,Санкт-Петербург,,,,2.0,,6.0,,,3.0,1.0,,,1.0,2.0,2.0,1.0,1.0,,,2.0,1.0,,59.957782931897256,30.2904199140645
172,8a110614c6e7fff,96.16666666666666,476,59.94952674987209,30.235029098480457,Санкт-Петербург,,,,,,6.0,,5.0,2.0,1.0,,,,,,,,,,,,,59.94952674987209,30.23502909848045
173,8a110614eb87fff,14512.166666666668,414,59.9385777888898,30.23135416088348,Санкт-Петербург,,,,,,4.0,,,,,,,,,,,,,,2.0,,,59.938577788889816,30.23135416088349
174,8a1106150697fff,100.16666666666666,1056,59.85310016361791,30.214011390852843,Санкт-Петербург,,,,,1.0,,,,,,2.0,,,1.0,2.0,,2.0,,1.0,4.0,,,59.85310016361791,30.21401139085284
175,8a1106152c17fff,13222.166666666668,748,59.83455176153058,30.205602844043792,Санкт-Петербург,,,,,,1.0,,11.0,,3.0,,,3.0,3.0,4.0,,,,1.0,,,,59.83455176153058,30.205602844043792
176,8a1106152c17fff,165.16666666666666,748,59.83455176153058,30.205602844043792,Санкт-Петербург,,,,,,1.0,,11.0,,3.0,,,3.0,3.0,4.0,,,,1.0,,,,59.83455176153058,30.205602844043792
177,8a1106158aeffff,28.383333333333336,479,59.90649371902472,30.27628045267076,Санкт-Петербург,,,,,,,,,,,,,,,,,,,,2.0,,,59.90649371902472,30.27628045267077
178,8a1106a80a07fff,7552.333333333334,2332,60.05308707568305,30.312089021069315,Санкт-Петербург,,,1.0,5.0,,,2.0,12.0,,1.0,4.0,,,1.0,1.0,,1.0,4.0,1.0,2.0,,,60.05308707568306,30.312089021069315
179,8a1106a83967fff,131.16666666666666,1175,60.05129416399175,30.334528547918644,Санкт-Петербург,,,,,1.0,,,8.0,,,3.0,,1.0,1.0,3.0,1.0,2.0,,1.0,,,,60.05129416399175,30.33452854791866
180,8a1106a915affff,262.6666666666667,352,59.99988162241668,30.35123944550733,Санкт-Петербург,,,1.0,2.0,,,,,,,,,,,,,,,,,,,59.99988162241668,30.351239445507336
181,8a1106a93a27fff,105.66666666666666,391,59.99942369276887,30.365938640426744,Санкт-Петербург,,,,,,2.0,,,,,1.0,1.0,,,1.0,,,,,,,,59.99942369276887,30.365938640426744
182,8a1106a961b7fff,13533.666666666666,414,59.96827915121261,30.30879655396248,Санкт-Петербург,,,,2.0,3.0,,,,,,,,1.0,,1.0,,,,1.0,,,,59.96827915121261,30.30879655396248
183,8a1106a96547fff,90.83333333333334,530,59.966488848145545,30.313011947239183,Санкт-Петербург,,,,,4.0,,,3.0,1.0,6.0,1.0,,3.0,,,,1.0,,,3.0,,,59.96648884814553,30.313011947239207
184,8a1106a96cc7fff,2258.0,111,59.96637993302397,30.30759800918761,Санкт-Петербург,,,,,1.0,,,,,,,,,,,,,,,,,,59.96637993302397,30.30759800918761
185,8a1106a96d57fff,23.48333333333333,319,59.96772459716865,30.29989469995875,Санкт-Петербург,,,2.0,,,1.0,,,,,,,,1.0,,,1.0,,,2.0,,,59.96772459716865,30.29989469995876
186,8a1106a98acffff,3628.65,225,60.03749641356686,30.41368378432071,Санкт-Петербург,,,,,,,1.0,,,,,,,,,,,,,,,,60.03749641356686,30.413683784320707
187,8a1106a9c447fff,9703.333333333334,264,60.02288676239736,30.376530571269093,Санкт-Петербург,,,,2.0,1.0,2.0,1.0,3.0,1.0,2.0,,1.0,2.0,4.0,4.0,2.0,1.0,,3.0,2.0,1.0,,60.02288676239736,30.3765305712691
188,8a1106a9d8e7fff,92.0,1612,60.049594866227615,30.38062030184508,Санкт-Петербург,,,,,,,,,,,,,1.0,,3.0,,,,,2.0,,,60.04959486622763,30.380620301845067
189,8a1106ab065ffff,9848.458333333334,1058,60.006950294908975,30.25619828989648,Санкт-Петербург,,,,,1.0,,,,,,,,2.0,,,,,,,,,,60.00695029490896,30.256198289896496
190,8a1106ab1c2ffff,3860.0,529,60.021359020608784,30.246025015779164,Санкт-Петербург,,,,,,,,,,,,,2.0,1.0,1.0,,,,,2.0,,,60.021359020608784,30.24602501577917
191,8a1106ab1d9ffff,10166.0,571,60.01722596365553,30.2455607052654,Санкт-Петербург,,,1.0,2.0,2.0,3.0,,7.0,2.0,3.0,3.0,,1.0,2.0,6.0,,2.0,,,2.0,,,60.01722596365553,30.245560705265408
192,8a1106ab225ffff,493.1666666666666,778,59.996783693243856,30.272247157931247,Санкт-Петербург,,,,2.0,,,,,,,,,,,,,,,1.0,,,,59.996783693243856,30.27224715793124
193,8a1106ab382ffff,1319.8333333333333,1004,60.01119569658418,30.26208192254204,Санкт-Петербург,,,,2.0,,2.0,,1.0,,,,,,1.0,1.0,,,,,4.0,,,60.01119569658417,30.26208192254205
194,8a1106ab6017fff,6522.4444444444425,965,59.987060471587085,30.219101110362743,Санкт-Петербург,,,1.0,,3.0,,,,,,,,4.0,1.0,,,,,,,1.0,,59.987060471587085,30.21910111036276
